timestamp,commit,alpha,norm,ndcg_at_10,recall_at_10,mrr_at_10
2026-03-12T15:01:37.957307+00:00,9d3c452,0.2,minmax,0.3096,0.2073,0.265
2026-03-12T15:02:53.055585+00:00,9d3c452,0.4,minmax,0.3203,0.174,0.3113
2026-03-12T15:03:14.331469+00:00,9d3c452,0.6,minmax,0.3192,0.1873,0.3033
2026-03-12T15:03:36.161339+00:00,9d3c452,0.8,minmax,0.3388,0.1673,0.3178
2026-03-12T15:03:56.684238+00:00,9d3c452,0.5,zscore,0.3187,0.1873,0.3047
